"UniProt","name","direction","importance"
"P27352","Gastric intrinsic factor","up",0.133911431408138
"Q99LC4.120",NA,"up",0.133911431408138
"P00387","NADH-cytochrome b5 reductase","down",0.133911431408138
"Q99LC4.191",NA,"up",0.133911431408138
"Q16659","MK06","down",0.133822738225252
"Q2TBA0","KLH40","down",0.133473399744475
"P23229","Integrin a6","up",0.133327602142494
"O75339","CILP","down",0.133326844956883
"P50221","MEOX1","down",0.13311178176885
"P0DMV8.9",NA,"down",0.13311178176885
"Q6MZM9","CD040","up",0.133081316862806
"Q68G75","LEMD1","up",0.133056083931176
"Q6UXK2","ISLR2","up",0.133051184955011
"P09016","HXD4","up",0.13294105727225
"O15492","RGS16","down",0.132934898263974
"Q6P1R3","MSD2","up",0.132908882381229
"Q07889","SOS1","down",0.132343386781925
"P08195","4F2:CD","up",0.132226777839367
"Q13332","PTPRS","up",0.131963702409777
"O15392","Survivin","up",0.131613576754456
"Q6ICB4","SESQ2","up",0.130878782623618
"O95861","BPNT1","down",0.130857493971379
"O15258","RER1","up",0.130717388630868
"Q68D91","YE006","down",0.13063154187194
"Q99LC4.142",NA,"down",0.130428728071432
"Q8WYJ6","SEPT1","down",0.130414530151081
"Q13526","PIN1","up",0.130358459654534
"O00472","ELL2","down",0.130358459654534
"Q8N807","PDILT","up",0.130358459654534
"Q96HD1","CREL1","down",0.130062660171738
"Q9HD36","B2L10","down",0.129861995977721
"O43325","LYRM1","up",0.129730522562096
"Q08495","Dematin","up",0.12967589687418
"P09525","annexin IV","up",0.129619734749418
"Q9NNX6.2",NA,"down",0.129581456648115
"P78358","Cancer/testis antigen 1B","up",0.129581456648115
"P35221","CTNA1","up",0.129581456648115
"Q86YT9.1",NA,"up",0.129570787663043
"P55058.1",NA,"up",0.129543268046119
"P02765","a2-HS-Glycoprotein","down",0.129432571043887
"Q96CN7","ISOC1","down",0.129297717787804
"P49915","GUAA","down",0.129156238087319
"Q71RG4","TMUB2","down",0.12905709703803
"P30711","GSTT1","down",0.129037287196996
"P35222.1",NA,"down",0.128946125492733
"Q9P2W1","HOP2","down",0.128903341032057
"Q99LC4.199",NA,"up",0.128650621002393
"Q8WY98","TM234","down",0.128489154642219
"Q15014","MO4L2","down",0.128489154642219
"Q5HYN5","CT451","up",0.128489154642219
"Q9NWH9","SLTM","down",0.128429090854289
"Q9NQX7","ITM2C:N-term","up",0.128263538992314
"O95825","QORL1","down",0.128239528225772
"P51665","PSD7","down",0.128084262912343
"P04083","annexin I","down",0.1278517244596
"P22748","Carbonic Anhydrase IV","up",0.127672174020906
"P04632","CPNS1","up",0.127661111909102
"Q9H3S3","Spinesin","up",0.127403446018108
"O75478","TAD2A","up",0.127398085631074
"P43353","AL3B1","up",0.127356544746991
"Q03426","MVK","down",0.127356357618666
"P02808","STAT","down",0.127356357618666
"Q12792","TWF1","down",0.127331222267854
"P55210","Caspase-7","up",0.127259976056066
"O14519","CDKA1","up",0.127154900655001
"P43166","Carbonic anhydrase VII","down",0.127074449668289
"Q01201","RELB","down",0.127048805533794
"Q8TCE6","FA45A","up",0.126641234409919
"Q6UX15","Layilin","down",0.126407450328551
"P31270","HXA11","up",0.126332085907924
"Q12988","HSPB3","up",0.126105246379862
"Q13283","G3BP1","down",0.125886623892624
"O14791.1",NA,"up",0.125846896156949
"Q03431","PTH1R","down",0.125846896156949
"Q5TAT6","CODA1","up",0.125846896156949
"P16444","DPEP1","up",0.125818592526935
"P52758","Ribonuclease UK114","down",0.125363852831851
"P16435","NADPH-P450 Oxidoreductase","down",0.125363852831851
"Q99LC4.101",NA,"up",0.125363852831851
"Q8N145","LGI3","down",0.125363852831851
"Q9NPB3","CABP2","down",0.125363852831851
"Q9UM13","APC10","down",0.125358250316159
"O43281","EFS","down",0.125358250316159
"P35548","MSX-2","down",0.125358250316159
"Q16658","Fascin","down",0.125358250316159
"Q99LC4.18",NA,"down",0.125269263826066
"P13671","C6","down",0.125237658772784
"P78540","Arginase","up",0.125220445858637
