"protein","mi_median_ctrl","sel_freq_ctrl","mi_median_als","sel_freq_als","mi_median_nonals","sel_freq_nonals","mi_full_ctrl","mi_full_als","mi_full_nonals","delta_mi_median","delta_sel_freq","high_ctrl","high_als","high_nonals","category"
"O15455",0.0625766416114468,0.01,0.0193394946497223,0.02,0.183385740302514,0.19,0.0288995731543289,0.00882947062674289,0.158842288608663,-0.226622887264239,0,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q16851",0.0625756085979361,0,0.0192687410994579,0,0.133106854499622,0,0.0164731040125727,0.0111670731114941,0.0844116869328726,-0.1764137219981,0,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q9Y4P9",0.0625740015950438,0,0.030454930248103,0.1,0.160064184970388,0.06,0.0257257511392273,0.0331500707542336,0.0580846832139994,-0.192183256317329,0.1,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q3KNS1",0.0625737178660821,0,0.0122685909039419,0,0.0969703586051119,0,0.00926055629916434,0.0013367473509911,0.0014686680060052,-0.147275485567252,0,FALSE,FALSE,FALSE,"low_or_nonspecific"
"O60568",0.062571613637648,0,0.0148892907895497,0.01,0.114590259161576,0,0.0257257511392273,0.00893705364572339,0.052683167897192,-0.162272582009675,0.01,FALSE,FALSE,FALSE,"low_or_nonspecific"
"P20823",0.0625708015711233,0,0.035535929104779,0.08,0.138064475387353,0.01,0.0462528736503445,0.0313125621495822,0.0963085292015153,-0.165099347853697,0.08,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q5VVJ2",0.0625647396722653,0,0.0176212638246449,0,0.120852873555727,0.01,0.0189731729025495,0.00533272898623194,0.0909070138847079,-0.165796349403347,0,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q99LC4.84",0.062550771752734,0.01,0.0146759038278785,0,0.160011440971177,0.06,0.0244950709482894,0.006259430772102,0.10778598626421,-0.207886308896033,-0.02,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q9H4I3",0.0625485958567609,0,0.0116691111127161,0,0.10517564296876,0,0.0171479127168577,0.00473880007506011,0.0014686680060052,-0.156055127712805,0,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q5TGJ6",0.0625420520679272,0,0.0153710475851701,0.01,0.11095455096676,0,0.0109026437897728,0.00430939354786153,0.0461878409453564,-0.158125555449517,0.01,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q8N441.1",0.0625409977327696,0.01,0.0114418565747052,0.01,0.117449877918595,0,0.033072909370659,0.00329205601903126,0.0461878409453564,-0.16854901907666,-0.01,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q9H223",0.062538695263209,0,0.0203867351927585,0.01,0.115058066205723,0.02,0.0257257511392273,0.0142081288715601,0.052683167897192,-0.157210026276174,0.01,FALSE,FALSE,FALSE,"low_or_nonspecific"
"P48304.2",0.0625379022939325,0,0.0172192229015475,0.01,0.169404286152253,0.05,0.0113151066686039,0.0118333758189189,0.139730365614905,-0.214722965544638,0.01,FALSE,FALSE,FALSE,"low_or_nonspecific"
"P31323",0.0625368495697423,0,0.0127536471840406,0,0.121319191331456,0,0.0372636279283047,0.00592909349249071,0.0461878409453567,-0.171102393717158,0,FALSE,FALSE,FALSE,"low_or_nonspecific"
"P08174",0.0625344411520135,0,0.0147939370115724,0,0.121492039287223,0,0.0323669208306296,0.00555603789196368,0.0844116869328726,-0.169232543427664,0,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q92832",0.0625300385379866,0.02,0.0115081249274185,0,0.126253496212174,0,0.0300106626658714,0.00297162981535504,0.0844116869328726,-0.177275409822742,-0.04,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q86U86",0.0625291638946619,0,0.0182397528403777,0.01,0.117114739363561,0,0.0244950709482894,0.00937545442873988,0.0014686680060052,-0.161404150417846,0.01,FALSE,FALSE,FALSE,"low_or_nonspecific"
"P01116",0.0625272888440731,0,0.0171282702669766,0,0.120554579647901,0.01,0.0386433695934589,0.00901811665411056,0.0461878409453564,-0.165953598224997,0,FALSE,FALSE,FALSE,"low_or_nonspecific"
"P35475",0.062522122961886,0.01,0.0143505694665034,0,0.119508960742594,0,0.0307248333400207,0.00805506868887829,0.0909070138847079,-0.167680514237976,-0.02,FALSE,FALSE,FALSE,"low_or_nonspecific"
"P08476.1",0.0625128726331083,0.03,0.0100506315212203,0,0.143132468591676,0.01,0.0226698107625976,0.00282980444306347,0.102803856153351,-0.195594709703564,-0.06,FALSE,FALSE,FALSE,"low_or_nonspecific"
"P16471",0.0625076549176196,0.01,0.0364378041063929,0.14,0.126253496212174,0,0.0131403668542953,0.0290712279881573,0.0580846832139994,-0.152323347023401,0.12,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q92830",0.062506934367861,0,0.0226824569538302,0,0.116838880019358,0,0.0189731729025495,0.0130261808303009,0.052683167897192,-0.156663357433389,0,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q7Z4H4",0.0624987895112983,0.01,0.0121677830017752,0,0.130241203500225,0,0.0539582797171532,0.00210276735640313,0.117449877918596,-0.180572210009748,-0.02,FALSE,FALSE,FALSE,"low_or_nonspecific"
"O15123",0.0624986139581012,0.01,0.0142782096815266,0,0.116550088643017,0,0.0134027126797496,0.00536921689749237,0.0461878409453567,-0.164770492919591,-0.02,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q96EK4",0.062497635471952,0,0.0135518055004329,0,0.158928609919083,0.02,0.034763559038328,0.00650501438524698,0.152505159203561,-0.207874439890602,0,FALSE,FALSE,FALSE,"low_or_nonspecific"
"P41439",0.0624970416880957,0.03,0.0167270811498179,0.02,0.152505159203561,0.01,0.0321099214660912,0.0072084072653853,0.11095455096676,-0.198275119741838,-0.04,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q96I59",0.0624928434414869,0.02,0.0266199298211804,0.02,0.146287275545554,0.05,0.0244950709482894,0.0202019600776819,0.11095455096676,-0.18216018916586,-0.02,FALSE,FALSE,FALSE,"low_or_nonspecific"
"P11086",0.0624863340044626,0,0.0170651986949144,0,0.104123960910164,0,0.0164731040125727,0.0122334305476364,0.0014686680060052,-0.149545096219712,0,FALSE,FALSE,FALSE,"low_or_nonspecific"
"O95297",0.0624863340044624,0,0.0145371388683158,0,0.139524928229118,0.02,0.0115774524940577,0.00984755562495421,0.117449877918595,-0.187474123365264,0,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q99LC4.26",0.0624768896678518,0.01,0.0104923447394354,0,0.138931662225545,0,0.0272574856637204,0.00230235237885434,0.0963085292015153,-0.190916207153962,-0.02,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q9Y279",0.0624735699166561,0.02,0.0146910114899981,0,0.129055419707987,0.03,0.0362073694158953,0.00218095057410617,0.0014686680060052,-0.176837978134645,-0.04,FALSE,FALSE,FALSE,"low_or_nonspecific"
"P43220",0.0624615245232216,0,0.0151225300459816,0,0.162619342107542,0.01,0.060234728479982,0.00335905363784894,0.164402001472204,-0.209958336584782,0,FALSE,FALSE,FALSE,"low_or_nonspecific"
"P01242",0.0624363496578604,0.01,0.0128757637149097,0,0.149627795543511,0.02,0.0386433695934589,0.00474047793713783,0.164402001472204,-0.199188381486461,-0.02,FALSE,FALSE,FALSE,"low_or_nonspecific"
"Q9Y570",0.0624349505743012,0,0.0234830657875631,0.03,0.123548483336583,0.02,0.0257257511392273,0.019122311133863,0.0396925139935216,-0.162500368123321,0.03,FALSE,FALSE,FALSE,"low_or_nonspecific"
